                source_id|          ra|         dec|phot_g_mean_mag|parallax|     pmra|    pmdec|delta_mu|delta_mu_un|pm_error|      F|   F_un|
      6337396323113806848|224.02687418| -4.50811856|         15.028|    20.2| -325.088| -381.525|     2.1|        3.2|     7.4|    0.3|    0.4|
      2071520558605906944|308.71775410| 46.80709186|         15.242|    20.2| -153.784| -181.355|     1.3|        5.5|     5.8|    0.2|    1.0|
       910087768838947456|128.50031555| 36.98898839|         15.997|    20.2| -140.179| -234.967|     6.4|        8.6|    11.8|    0.5|    0.7|
       495092669898889088| 61.16572848| 71.23350420|         16.675|    20.2|  164.359| -191.246|     2.8|        3.7|     5.9|    0.5|    0.6|
      2703946830710306176|337.07632381|  3.06089162|         14.811|    20.2| -259.142| -214.722|     7.8|        2.2|     8.1|    1.0|    0.3|
       361744174557328256|  9.59509479| 32.77547190|         13.883|    20.2| -174.301| -119.101|     4.9|        4.4|     5.5|    0.9|    0.8|
       118831235296781824| 51.06719419| 27.92243102|         13.614|    20.2|  117.231| -105.272|     1.8|        3.2|     5.5|    0.3|    0.6|
      3246320420451065856| 57.28494278| -4.55351148|         12.569|    20.2| -127.433| -146.769|     7.2|       13.2|    13.4|    0.5|    1.0|
      3708243672099616128|187.98838103|  5.44543803|         15.172|    20.2| -264.282| -706.957|     2.2|        5.8|     9.2|    0.2|    0.6|
      1260447801864369024|213.88179567| 27.43713461|         13.488|    20.2| -233.549|  166.390|     0.8|        5.9|     7.3|    0.1|    0.8|
      1351549383972758144|253.70116222| 37.87976249|         13.345|    20.3|  167.143| -291.885|     3.6|        4.7|     5.5|    0.7|    0.9|
      4337702190532658304|252.32356761| -9.75063706|         13.050|    20.3| -150.471| -224.162|     1.7|        5.8|     6.2|    0.3|    0.9|
      1811922423011016064|307.49805388| 17.16384983|         13.807|    20.3|  108.322|  111.181|     4.0|        7.6|     7.0|    0.6|    1.1|
      2777588168168856320| 15.49001496| 15.53433919|         14.920|    20.3|  144.089|  102.377|    12.3|       13.8|     8.1|    1.5|    1.7|
      4506137407611294720|283.27748653| 12.73777520|         14.736|    20.3| -173.171| -146.150|     2.4|        8.5|     5.2|    0.5|    1.6|
       330242341788122112| 28.50688241| 35.46048563|         14.597|    20.3|  153.150| -141.694|     1.9|        7.0|     6.3|    0.3|    1.1|
      4530568487233001472|275.11593349| 23.82946730|         18.707|    20.3| -169.984| -122.174|     9.6|       12.1|     7.4|    1.3|    1.6|
      6314852177216778624|232.34223155|-11.88518101|         14.205|    20.3|  138.921| -274.869|    19.2|       19.6|     6.8|    2.8|    2.9|
      1055160665901865984|164.69023890| 63.51335582|         15.826|    20.3| -105.894| -279.017|    10.0|       16.1|     7.7|    1.3|    2.1|
      3965304164913347072|168.55139520| 13.61653064|         15.096|    20.3| -271.051|  177.580|     3.5|        2.7|     8.6|    0.4|    0.3|
      2284043752381831296|334.53121440| 77.95381090|         14.480|    20.3|  170.262|  110.170|     3.4|        5.4|     6.8|    0.5|    0.8|
       339902410432713472| 36.07508782| 43.82946960|         14.698|    20.3|  280.408| -155.053|     2.6|        5.9|     6.7|    0.4|    0.9|
      4244415603945361408|303.22163601|  3.52037541|         14.510|    20.3| -248.966| -306.413|     3.5|        1.6|     6.5|    0.5|    0.2|
      1473871358233054720|198.64223054| 35.18899618|         12.895|    20.3|  118.167| -243.010|     2.0|        3.8|     8.0|    0.2|    0.5|
      4313658585693385984|284.95572394| 11.97862193|         15.568|    20.3|  157.954|  172.860|     8.8|        6.5|     8.4|    1.0|    0.8|
       464778206611256448| 42.04336303| 60.52933109|         15.573|    20.3|  150.878| -167.522|     2.5|        4.3|     5.9|    0.4|    0.7|
      1184185675361723776|227.05991582| 15.39307798|         14.045|    20.3| -111.447| -162.673|     2.8|        5.1|     6.9|    0.4|    0.7|
      4366155146278913408|256.23901610| -2.95346276|         16.062|    20.3|  125.241| -491.011|     3.4|        2.4|    12.2|    0.3|    0.2|
      2043008401032753152|288.55525292| 32.18295877|         15.615|    20.3|  112.762| -124.817|     5.2|        8.3|     5.6|    0.9|    1.5|
      1388737444204396672|228.97789825| 39.37285904|         13.865|    20.3| -395.854| -281.949|     2.5|        4.6|     6.4|    0.4|    0.7|
       411962856336352000| 17.04579130| 56.28353796|         14.530|    20.3|  179.617| -242.795|     3.2|        3.3|     5.9|    0.6|    0.6|
      3391357647810098560| 76.51872844| 12.82317785|         16.715|    20.3|  138.877|  137.031|     1.7|        9.1|     6.8|    0.2|    1.3|
       566243132482562688| 21.86454657| 81.94907076|         13.573|    20.3|  324.340| -129.417|     3.0|        0.9|     7.1|    0.4|    0.1|
      1022217510827580672|147.27560805| 56.47738260|         12.757|    20.3| -111.537| -100.439|     5.1|        4.0|     7.2|    0.7|    0.6|
      3954344851482963328|192.31546658| 20.70471862|         14.008|    20.3|  202.079| -146.388|    33.0|       26.2|    10.6|    3.1|    2.5|
      1534625388620998656|186.79777039| 40.66270087|         16.101|    20.3|  232.427| -105.883|     2.4|        7.4|     6.5|    0.4|    1.1|
      4338051079315231872|251.46022476| -8.85203613|         13.226|    20.3| -191.837| -182.782|     1.8|        5.3|     7.3|    0.2|    0.7|
      2183769047851717248|310.92835951| 55.16240202|         13.023|    20.3| -137.022| -133.936|     2.8|        1.2|     6.0|    0.5|    0.2|
      4575204776671976832|258.69866130| 28.09361212|         14.208|    20.3|  269.022| -132.246|     3.9|        4.6|     6.0|    0.7|    0.8|
       857627148499656064|170.57669560| 59.21704967|         15.457|    20.3|  327.454| -376.131|     5.1|        4.4|     7.4|    0.7|    0.6|
       918044247294118656|127.53872056| 45.34124204|         15.062|    20.3| -100.924| -114.272|     9.9|       11.1|     7.9|    1.3|    1.4|
      4246449185056540928|306.79427720|  5.66524443|         18.581|    20.3|  110.626|  166.316|    10.1|        6.5|     9.4|    1.1|    0.7|
       869667831617332608|110.20728203| 24.00615042|         17.871|    20.3| -155.704| -140.036|     1.4|        4.1|     9.0|    0.1|    0.5|
      2548021513363830656|  4.11852330|  1.87896772|         14.119|    20.3|  183.322| -107.733|    11.0|       15.0|    11.7|    0.9|    1.3|
      3669338896259042944|215.05245822|  3.99758224|         15.303|    20.3| -220.668| -110.732|     3.2|        9.9|     8.0|    0.4|    1.2|
      4391977279936719360|256.45393393|  4.95711097|         13.209|    20.3| -144.441|  136.695|     1.5|        4.6|     6.4|    0.2|    0.7|
      3910941183300120064|174.10126866|  8.03878095|         12.839|    20.3| -191.079| -118.330|     4.4|        6.2|    12.4|    0.4|    0.5|
      1916983958796151168|350.18496053| 38.57833561|         14.245|    20.4|  451.836|  128.450|     2.6|       10.5|     5.8|    0.4|    1.8|
      1883822619383770496|342.99899607| 27.36800928|         13.329|    20.4|  249.499| -148.573|     4.0|        8.4|     5.6|    0.7|    1.5|
       780800010459349376|159.18172828| 43.05038493|         13.723|    20.4| -142.094| -267.994|     6.0|       12.2|     7.9|    0.8|    1.5|
      4011353223713622528|189.35982691| 29.87804189|         16.547|    20.4| -156.452| -102.041|    13.0|       14.7|    14.8|    0.9|    1.0|
      2066441330273174144|309.97157992| 42.34334966|         14.365|    20.4|  374.449|  142.706|     1.9|        2.7|     6.2|    0.3|    0.4|
